siteid,sex,age_group,num_patients,per_patients,P,N,standard_error,95_CI_below,95_CI_above,95_CI_below_x100,95_CI_above_x100
France,All,6 - 11,15,0.12551250941343822,0.0012551250941343823,15,8.35699836754971e-05,0.0,0.019172782566242438,0.0,1.9172782566242437
France,Female,6 - 11,7,0.11356262167423752,0.0011356262167423752,7,0.00016204808140546037,0.0,0.02608605526169502,0.0,2.608605526169502
France,Male,6 - 11,8,0.13833650354487292,0.0013833650354487291,8,0.00017268141707842838,0.0,0.027139392132974668,0.0,2.7139392132974667
France,Other,6 - 11,0,,,0,,,,,
Germany,All,6 - 11,8,1.1922503725782414,0.011922503725782414,8,0.0014725447038363899,0.0,0.08713505410308231,0.0,8.713505410308231
Germany,Female,6 - 11,3,0.911854103343465,0.00911854103343465,3,0.0030117977476187396,0.0,0.11668304366907255,0.0,11.668304366907254
Germany,Male,6 - 11,5,1.461988304093567,0.01461988304093567,5,0.0028812284121610063,0.0,0.11982695061796551,0.0,11.982695061796552
Germany,Other,6 - 11,0,,,0,,,,,
Italy,All,6 - 11,6,0.18181818181818182,0.0018181818181818182,6,0.0003024793388429752,0.0,0.03590637080057238,0.0,3.590637080057238
Italy,Female,6 - 11,0,0.0,0.0,0,,,,,
Italy,Male,6 - 11,0,0.0,0.0,0,,,,,
Italy,Other,6 - 11,0,,,0,,,,,
Singapore,All,6 - 11,0,0.0,0.0,0,,,,,
Singapore,Female,6 - 11,0,0.0,0.0,0,,,,,
Singapore,Male,6 - 11,0,0.0,0.0,0,,,,,
Singapore,Other,6 - 11,0,,,0,,,,,
USA,All,6 - 11,187,3.7037037037037033,0.037037037037037035,187,0.00019072350227034322,0.009968911754303648,0.06410516231977043,0.9968911754303648,6.410516231977042
USA,Female,6 - 11,121,4.530138524897042,0.04530138524897042,121,0.00035743115490491557,0.008245919731954932,0.08235685076598591,0.8245919731954932,8.23568507659859
USA,Male,6 - 11,65,2.824858757062147,0.028248587570621472,65,0.000422316998013637,0.0,0.06852727895414569,0.0,6.852727895414569
USA,Other,6 - 11,1,50.0,0.5,1,0.25,0.0,1.48,0.0,148.0
France,All,12 - 17,46,0.38490502886787714,0.0038490502886787716,46,8.335293696856508e-05,0.0,0.021743424897992157,0.0,2.1743424897992156
France,Female,12 - 17,25,0.40558079169370537,0.004055807916937054,25,0.00016157433356311858,0.0,0.02896973895593763,0.0,2.8969738955937627
France,Male,12 - 17,21,0.3631333218052914,0.003631333218052914,21,0.0001722926970053514,0.0,0.029358354515042543,0.0,2.9358354515042544
France,Other,12 - 17,0,,,0,,,,,
Germany,All,12 - 17,13,1.9374068554396422,0.019374068554396422,13,0.0014614395401573823,0.0,0.09430247530022681,0.0,9.430247530022681
Germany,Female,12 - 17,7,2.127659574468085,0.02127659574468085,7,0.002974843174028325,0.0,0.1281791566931783,0.0,12.81791566931783
Germany,Male,12 - 17,6,1.7543859649122806,0.017543859649122806,6,0.002872678772955781,0.0,0.12259471768553738,0.0,12.259471768553738
Germany,Other,12 - 17,0,,,0,,,,,
Italy,All,12 - 17,6,0.18181818181818182,0.0018181818181818182,6,0.0003024793388429752,0.0,0.03590637080057238,0.0,3.590637080057238
Italy,Female,12 - 17,0,0.0,0.0,0,,,,,
Italy,Male,12 - 17,0,0.0,0.0,0,,,,,
Italy,Other,12 - 17,0,,,0,,,,,
Singapore,All,12 - 17,1,1.7241379310344827,0.017241379310344827,1,0.01694411414982164,0.0,0.2723737153988046,0.0,27.237371539880463
Singapore,Female,12 - 17,1,3.3333333333333335,0.03333333333333333,1,0.03222222222222222,0.0,0.3851641007327876,0.0,38.51641007327876
Singapore,Male,12 - 17,0,0.0,0.0,0,,,,,
Singapore,Other,12 - 17,0,,,0,,,,,
USA,All,12 - 17,40,0.7922360863537333,0.007922360863537333,40,0.00019648992654713063,0.0,0.03539663431750618,0.0,3.539663431750618
USA,Female,12 - 17,26,0.9734181954324224,0.009734181954324224,26,0.0003707472175386282,0.0,0.04747358458468384,0.0,4.747358458468384
USA,Male,12 - 17,14,0.6084311169056932,0.006084311169056932,14,0.00043194945190393007,0.0,0.046819762736876054,0.0,4.681976273687606
USA,Other,12 - 17,0,0.0,0.0,0,,,,,
France,All,18 - 25,636,5.32173039912978,0.0532173039912978,636,7.922204803018177e-05,0.035771977404708874,0.07066263057788673,3.5771977404708872,7.066263057788673
France,Female,18 - 25,467,7.576249188838418,0.07576249188838417,467,0.00014994119210117064,0.051762198482347296,0.09976278529442105,5.176219848234729,9.976278529442105
France,Male,18 - 25,169,2.92235863738544,0.0292235863738544,169,0.00016786726848109037,0.003829120468918406,0.054618052278790394,0.3829120468918406,5.461805227879039
France,Other,18 - 25,0,,,0,,,,,
